Keira,Anderson,Mickey,Collie Smooth,(245) 757-1518,(468) 843-2186,(241) 275-7438,"05/11/2002		trim and bath                 		$30
03/11/2019		bath and nails                		$28"
Barron,Lewis,Gracie,Cão da Serra de Aires,(534) 646-1878,(607) 234-0160,(715) 775-4675,"05/22/2000		skunk bath                    		$54
11/26/2003		6 body 8 tail 7 face          		$38
09/11/2005		nails                         		$25
04/13/2009		bath and nails                		$51
06/28/2010		no show                       		$42
05/16/2011		skunk bath                    		$32
06/20/2011		nails                         		$33
06/22/2012		no show                       		$54
09/23/2014		skunk bath                    		$37
04/12/2018		bath                          		$28"
Jai,Hughes,Princess,Cat,(187) 858-1485,(188) 412-5477,(301) 343-2236,"03/20/2000		bath                          		$34
08/18/2000		no show                       		$26
03/27/2003		no show                       		$31
07/17/2003		nails                         		$45
05/21/2005		no show                       		$51
12/14/2007		skunk bath                    		$25
12/23/2011		skunk bath                    		$42
03/11/2015		skunk bath                    		$49
02/22/2016		skunk bath                    		$51
05/24/2016		nails                         		$53
11/24/2017		bath                          		$53
06/26/2018		skunk bath                    		$35
12/28/2019		bath                          		$57
09/19/2020		trim and bath                 		$44"
Tomas,Nelson,Cooper,French Brittany,(117) 060-7046,(276) 822-4710,(813) 442-7778,"02/21/2006		skunk bath                    		$39
08/17/2008		no show                       		$60
08/17/2011		3 body 2 tail 1 face          		$29
10/11/2013		nails                         		$31
08/20/2016		bath and nails                		$42
09/22/2017		bath                          		$28
02/24/2018		trim and bath                 		$60
09/17/2019		nails                         		$30"
Joya,Walker,Molly,Grand Anglo-Français Tricolore,(181) 215-1311,(280) 288-8073,(665) 117-8738,"09/17/2004		bath and nails                		$33
07/25/2007		no show                       		$26
02/13/2009		no show                       		$57
05/12/2009		7 body 8 tail 1 face          		$53
12/20/2011		trim and bath                 		$59
02/27/2014		bath and nails                		$47
02/11/2016		skunk bath                    		$58
11/23/2016		bath and nails                		$49
07/12/2019		nails                         		$26
06/10/2020		skunk bath                    		$58
09/17/2020		5 body 4 tail 4 face          		$36"
Brielle,Jackson,Henry,Austrian Black and Tan Hound,(136) 445-3823,(713) 863-6068,(467) 374-5064,"05/23/2003		no show                       		$52
07/19/2003		nails                         		$26
12/25/2003		no show                       		$43
06/10/2004		bath and nails                		$50
08/23/2016		bath                          		$48
08/18/2017		bath and nails                		$55
11/14/2017		nails                         		$50
09/20/2018		0 body 2 tail 1 face          		$30
11/20/2020		trim and bath                 		$41"
Maribel,Roberts,Riley,Russian Spaniel,(784) 686-7535,(710) 451-6458,(342) 564-4453,"05/10/2000		skunk bath                    		$50
09/13/2000		trim and bath                 		$44
05/10/2002		nails                         		$29
02/26/2014		skunk bath                    		$36
09/10/2019		nails                         		$37
10/17/2019		3 body 7 tail 1 face          		$43
03/11/2020		trim and bath                 		$42
12/21/2020		nails                         		$41"
Catalina,Taylor,Misty,Chinook,(610) 584-5472,(660) 778-0043,(873) 517-1144,"05/28/2000		nails                         		$47
09/23/2000		nails                         		$25
12/16/2001		trim and bath                 		$40
07/15/2002		bath and nails                		$58
11/27/2002		trim and bath                 		$45
12/17/2005		skunk bath                    		$58
07/17/2010		nails                         		$56
10/19/2010		trim and bath                 		$34
07/28/2011		7 body 4 tail 0 face          		$33
07/27/2012		bath and nails                		$27
07/23/2014		no show                       		$45
10/12/2016		skunk bath                    		$55"
Amelie,Turner,Jake,Wirehaired Pointing Griffon,(535) 537-4073,(700) 433-4457,(475) 274-8817,"07/22/2001		bath and nails                		$41
08/27/2001		skunk bath                    		$58
02/24/2004		bath and nails                		$28
03/24/2004		bath and nails                		$42
05/21/2006		trim and bath                 		$54
10/17/2007		8 body 3 tail 7 face          		$31
03/18/2008		bath and nails                		$27
10/21/2008		bath                          		$42
06/25/2011		4 body 8 tail 1 face          		$35
04/14/2014		bath and nails                		$26
05/28/2017		bath and nails                		$36"
Calum,Bennett,Baxter,Kunming Wolfdog,(083) 271-6815,(658) 647-4027,(240) 783-0564,"06/19/2005		no show                       		$59
03/26/2007		bath and nails                		$52
11/23/2009		trim and bath                 		$36
07/10/2014		bath                          		$27
03/24/2015		bath                          		$57
07/21/2016		8 body 0 tail 3 face          		$54
06/19/2017		bath and nails                		$26
07/21/2017		bath and nails                		$57
10/11/2017		8 body 3 tail 5 face          		$45
10/25/2018		skunk bath                    		$55"
Isidora,White,Champ,Shetland Sheepdog,(203) 627-0416,(300) 763-2541,(506) 534-0670,"05/12/2002		skunk bath                    		$28
10/24/2005		bath and nails                		$60
11/25/2008		bath                          		$58
08/26/2009		skunk bath                    		$54
06/11/2010		nails                         		$34
03/11/2012		nails                         		$39
03/24/2013		no show                       		$31
11/19/2013		no show                       		$41
08/12/2016		5 body 1 tail 2 face          		$54
09/20/2017		skunk bath                    		$35
04/21/2020		3 body 8 tail 0 face          		$42"
Gregg,Hall,Snuggles,Cat,(662) 253-1452,(467) 563-5811,(275) 765-5407,"08/15/2000		3 body 1 tail 4 face          		$49
02/10/2002		skunk bath                    		$57
02/11/2007		no show                       		$31
08/24/2007		bath and nails                		$60
12/25/2007		no show                       		$55
10/20/2010		no show                       		$31
06/22/2013		4 body 5 tail 5 face          		$47
08/27/2013		skunk bath                    		$46
11/25/2013		trim and bath                 		$51
02/19/2016		bath                          		$39
05/13/2016		no show                       		$30
04/15/2019		bath and nails                		$54
06/14/2020		3 body 6 tail 8 face          		$45"
Maris,Hughes,Cali,Chippiparai,(846) 574-5266,(752) 721-2485,(431) 640-7485,"02/18/2005		bath                          		$42
02/23/2005		no show                       		$47
05/10/2005		bath                          		$34
05/24/2005		nails                         		$34
02/18/2007		trim and bath                 		$25
05/17/2010		skunk bath                    		$30
10/28/2010		5 body 5 tail 1 face          		$39
02/26/2012		nails                         		$39
07/19/2014		bath                          		$41
05/10/2015		bath                          		$50
08/16/2019		trim and bath                 		$54"
Daniela,Sanchez,Samson,Glen of Imaal Terrier,(765) 738-1386,(501) 367-5150,(032) 225-0865,"02/12/2001		bath and nails                		$55
02/17/2002		nails                         		$48
06/21/2002		no show                       		$30
10/27/2002		6 body 7 tail 8 face          		$57
09/15/2004		skunk bath                    		$34
06/14/2006		bath and nails                		$58
06/28/2010		4 body 2 tail 6 face          		$38
09/22/2010		3 body 1 tail 3 face          		$31
08/13/2013		0 body 1 tail 0 face          		$40
03/15/2019		1 body 8 tail 7 face          		$39
04/22/2020		skunk bath                    		$47"
Forest,Brown,Oscar,Deutsche Bracke,(687) 503-7187,(157) 277-6165,(153) 634-3308,"10/20/2001		5 body 5 tail 0 face          		$31
07/14/2003		bath                          		$46
08/16/2003		6 body 1 tail 3 face          		$38
08/17/2007		skunk bath                    		$28
03/19/2008		5 body 0 tail 6 face          		$29
08/21/2011		bath                          		$44
04/24/2016		skunk bath                    		$52
02/15/2017		bath and nails                		$43
02/18/2020		bath and nails                		$27
06/18/2020		no show                       		$28"
Thomas,Reyes,Blue,Leonberger,(475) 203-8765,(383) 360-8202,(337) 460-1207,"12/22/2001		trim and bath                 		$39
07/28/2002		5 body 4 tail 2 face          		$32
12/12/2002		nails                         		$50
04/25/2005		no show                       		$54
02/15/2007		skunk bath                    		$47
06/24/2007		bath                          		$51
07/13/2010		bath                          		$35
08/24/2010		nails                         		$41
09/22/2010		no show                       		$51
05/25/2011		trim and bath                 		$30
08/22/2013		bath                          		$60
03/16/2015		bath                          		$45"
Georgina,Roberts,Chester,Azawakh,(237) 705-4877,(666) 066-5872,(178) 168-4813,"12/18/2004		no show                       		$26
08/27/2007		no show                       		$34
12/18/2008		trim and bath                 		$58
03/20/2010		bath and nails                		$39
09/23/2011		trim and bath                 		$39
02/19/2012		trim and bath                 		$39
07/25/2015		no show                       		$47
09/14/2016		no show                       		$40
04/17/2017		7 body 1 tail 3 face          		$59
07/15/2018		no show                       		$49
07/13/2020		bath and nails                		$28"
Darryn,Peterson,Lady,Polish Hunting Dog,(452) 511-8713,(861) 600-7363,(601) 177-0364,"10/13/2000		6 body 6 tail 1 face          		$37
06/23/2003		bath and nails                		$31
07/27/2006		bath                          		$46
09/12/2007		nails                         		$56
11/10/2007		no show                       		$45
05/21/2010		skunk bath                    		$40
02/19/2012		nails                         		$42
07/25/2014		1 body 8 tail 0 face          		$51
03/15/2016		skunk bath                    		$60
10/26/2017		5 body 4 tail 8 face          		$28
10/24/2020		bath                          		$30"
Harlan,Gutierrez,Sugar,Perro de Presa Mallorquin,(517) 816-3121,(534) 526-3366,(886) 220-0174,"02/24/2001		skunk bath                    		$28
06/14/2001		nails                         		$29
05/18/2005		6 body 8 tail 3 face          		$37
04/26/2011		trim and bath                 		$32
04/15/2017		nails                         		$38
06/28/2018		skunk bath                    		$49
10/26/2018		bath                          		$41
02/10/2019		trim and bath                 		$38
07/12/2019		6 body 7 tail 6 face          		$38"
Christa,Torres,Duke,English White Terrier,(861) 465-4716,(243) 235-6625,(586) 486-5078,"09/14/2001		bath                          		$33
03/15/2006		bath                          		$37
11/23/2007		trim and bath                 		$47
04/26/2008		no show                       		$57
09/10/2011		bath and nails                		$32
02/24/2012		no show                       		$47
03/10/2015		trim and bath                 		$41
07/13/2015		no show                       		$29"
Quintrell,Flores,Maggie,Cat,(342) 051-5426,(071) 336-5118,(666) 160-4230,"06/26/2003		skunk bath                    		$29
02/24/2004		no show                       		$37
03/17/2006		trim and bath                 		$44
08/13/2008		no show                       		$36
12/18/2010		trim and bath                 		$46
07/19/2011		trim and bath                 		$60
04/21/2017		0 body 3 tail 8 face          		$36"
Clarice,Thompson,Bella,Indian pariah dog,(200) 438-7228,(065) 732-2006,(736) 120-5308,"05/21/2002		bath and nails                		$36
03/15/2006		nails                         		$44
04/23/2007		4 body 4 tail 1 face          		$41
02/26/2010		trim and bath                 		$45
08/19/2010		no show                       		$49
02/25/2011		trim and bath                 		$59
08/12/2011		bath                          		$40
06/16/2013		3 body 0 tail 6 face          		$31
02/27/2015		bath                          		$44"
Kimberly,Allen,Cleo,Landseer,(552) 728-4545,(761) 473-8307,(832) 255-0551,"06/19/2000		skunk bath                    		$53
10/20/2000		bath                          		$45
03/12/2012		nails                         		$44
03/18/2015		trim and bath                 		$35
03/26/2017		0 body 4 tail 7 face          		$29
03/25/2019		bath                          		$41
07/28/2020		no show                       		$35"
Nik,Adams,Otis,Kuvasz,(423) 001-6527,(405) 406-4307,(634) 855-4002,"05/23/2000		bath and nails                		$44
04/15/2002		skunk bath                    		$53
08/22/2002		nails                         		$45
08/21/2005		trim and bath                 		$49
10/17/2006		bath                          		$41
09/19/2011		skunk bath                    		$56
08/11/2014		no show                       		$34
06/25/2016		nails                         		$48
11/13/2016		bath and nails                		$41"
Jordana,Reed,Athena,Fox Terrier Wire,(228) 158-8248,(012) 010-6164,(588) 365-6220,"09/21/2001		trim and bath                 		$56
05/25/2004		skunk bath                    		$34
05/28/2009		skunk bath                    		$28
02/23/2011		nails                         		$30
08/18/2017		trim and bath                 		$55
05/25/2018		no show                       		$49"
Nancy,Rodriguez,Baby,Norrbottenspets,(086) 261-3580,(676) 316-3182,(436) 248-4481,"02/14/2001		bath                          		$40
06/23/2002		no show                       		$29
06/10/2009		bath and nails                		$25
04/13/2010		6 body 0 tail 6 face          		$37
02/21/2011		bath                          		$54
05/13/2011		trim and bath                 		$41
12/12/2017		nails                         		$32"
Asher,Kelly,Bailey,Spanish Mastiff,(837) 617-7081,(837) 866-5745,(735) 880-3531,"11/26/2001		skunk bath                    		$48
04/28/2003		trim and bath                 		$39
04/14/2005		no show                       		$34
09/26/2005		7 body 3 tail 6 face          		$26
11/25/2005		nails                         		$49
04/22/2007		no show                       		$31
08/14/2008		no show                       		$58
03/25/2009		trim and bath                 		$60
09/11/2009		skunk bath                    		$60
05/19/2014		trim and bath                 		$39
08/18/2015		nails                         		$32
05/18/2016		no show                       		$40"
Fallon,James,Cleo,Cat,(227) 507-0840,(347) 274-2333,(132) 562-2388,"08/20/2000		bath                          		$45
08/27/2002		skunk bath                    		$37
06/22/2004		trim and bath                 		$48
06/20/2005		1 body 1 tail 6 face          		$51
08/17/2005		bath and nails                		$28
07/25/2006		trim and bath                 		$36
06/13/2007		trim and bath                 		$46
06/17/2010		bath                          		$35
06/14/2012		2 body 0 tail 1 face          		$29"
Eric,Johnson,Beau,Bernese Mountain Dog,(215) 876-5100,(551) 417-8840,(141) 507-4575,"12/12/2003		trim and bath                 		$46
04/12/2005		trim and bath                 		$46
08/24/2006		trim and bath                 		$28
09/21/2006		no show                       		$29
10/15/2007		bath and nails                		$55
07/14/2008		no show                       		$54
02/17/2010		nails                         		$52
08/12/2017		trim and bath                 		$34
06/10/2019		nails                         		$29
06/24/2020		nails                         		$35"
Bryony,Diaz,Bandit,Cursinu,(251) 150-7781,(315) 556-4287,(851) 076-2863,"07/16/2001		8 body 5 tail 2 face          		$48
06/14/2005		nails                         		$43
07/16/2005		no show                       		$52
07/12/2006		skunk bath                    		$54
03/28/2007		nails                         		$46
04/11/2009		skunk bath                    		$55
02/23/2011		8 body 2 tail 6 face          		$53
05/28/2012		6 body 8 tail 5 face          		$25
05/21/2018		nails                         		$55
03/18/2019		trim and bath                 		$26
05/10/2020		bath                          		$34"
Taylor,Hernandez,George,Cat,(888) 220-0048,(608) 160-5816,(076) 571-6488,"05/27/2002		skunk bath                    		$53
06/19/2002		bath and nails                		$42
11/13/2002		skunk bath                    		$47
08/20/2003		nails                         		$57
06/25/2008		2 body 5 tail 8 face          		$60
09/19/2011		3 body 6 tail 5 face          		$35
03/25/2013		bath and nails                		$36
04/16/2016		0 body 3 tail 2 face          		$44
04/23/2020		2 body 7 tail 2 face          		$29
10/22/2020		no show                       		$50"
Persephone,Peterson,Riley,Irish Wolfhound,(156) 467-1773,(783) 381-2323,(248) 580-8883,"07/14/2002		nails                         		$59
05/15/2003		bath                          		$44
08/17/2004		trim and bath                 		$43
08/24/2007		bath and nails                		$39
08/27/2008		no show                       		$46
09/20/2008		nails                         		$26
12/15/2008		skunk bath                    		$41
10/15/2011		trim and bath                 		$59
08/26/2016		7 body 1 tail 5 face          		$32
09/19/2017		trim and bath                 		$39
10/25/2017		nails                         		$30
12/11/2019		2 body 0 tail 3 face          		$40
09/28/2020		bath                          		$54"
Ashlie,Morgan,Pepper,Eurasier,(651) 765-0007,(576) 847-0540,(750) 472-4371,"12/28/2001		trim and bath                 		$34
11/12/2003		bath and nails                		$55
05/14/2004		7 body 2 tail 1 face          		$46
10/12/2007		skunk bath                    		$32
11/26/2007		no show                       		$47
03/18/2010		nails                         		$27
08/12/2011		no show                       		$35
12/27/2011		bath and nails                		$38
02/25/2018		nails                         		$37
02/13/2020		4 body 1 tail 1 face          		$28"
Daire,Kelly,Pebbles,Finnish Hound,(103) 361-2283,(862) 708-5873,(282) 751-2123,"07/23/2000		2 body 8 tail 6 face          		$55
12/10/2001		skunk bath                    		$46
04/19/2002		trim and bath                 		$30
12/23/2002		nails                         		$59
02/11/2003		nails                         		$39
04/21/2007		no show                       		$31
09/15/2019		bath and nails                		$37"
Chelsea,Cook,Bentley,Indian Spitz,(463) 115-8534,(363) 532-4616,(043) 565-6113,"12/17/2007		bath                          		$30
11/10/2009		no show                       		$49
05/26/2013		skunk bath                    		$30
12/15/2013		6 body 2 tail 3 face          		$57
10/15/2014		bath and nails                		$47
12/22/2015		skunk bath                    		$40
05/13/2016		bath and nails                		$44
02/12/2018		skunk bath                    		$28
10/25/2018		bath and nails                		$39
05/13/2020		bath                          		$60"
Terrence,Garcia,Gigi,Bully Kutta,(888) 503-0325,(515) 548-6626,(434) 735-4115,"12/22/2000		no show                       		$29
06/22/2001		no show                       		$41
11/12/2002		no show                       		$40
10/16/2004		bath and nails                		$60
12/11/2005		skunk bath                    		$30
12/19/2006		nails                         		$37
06/15/2009		skunk bath                    		$48
10/17/2009		skunk bath                    		$35
09/18/2010		nails                         		$57
05/20/2013		trim and bath                 		$47
08/24/2017		bath                          		$35
04/16/2018		trim and bath                 		$34"
Carys,Morgan,Moose,Spinone Italiano,(848) 707-6782,(075) 335-1681,(584) 762-4377,"09/14/2005		trim and bath                 		$46
07/21/2006		bath and nails                		$31
07/28/2006		1 body 2 tail 8 face          		$38
02/17/2008		bath                          		$54
08/13/2010		nails                         		$56
08/14/2011		bath                          		$36
07/25/2013		trim and bath                 		$53"
Bill,King,Sandy,English Water Spaniel,(742) 822-3204,(543) 227-3087,(686) 574-7348,"08/15/2001		3 body 8 tail 1 face          		$37
08/22/2003		no show                       		$43
12/17/2006		trim and bath                 		$40
06/18/2008		1 body 0 tail 4 face          		$55
10/21/2008		2 body 0 tail 7 face          		$42
03/19/2012		skunk bath                    		$51
12/11/2016		skunk bath                    		$36
10/26/2017		skunk bath                    		$50
11/19/2017		no show                       		$26"
Lynn,Moore,Benji,American English Coonhound,(225) 787-2673,(284) 428-8122,(017) 284-4025,"08/12/2003		bath and nails                		$51
03/17/2004		bath and nails                		$29
11/19/2006		trim and bath                 		$51
07/27/2007		no show                       		$60
09/22/2007		skunk bath                    		$26
02/23/2011		skunk bath                    		$30
07/26/2012		trim and bath                 		$52
09/23/2012		bath                          		$37"
Jameson,Phillips,Brody,Saarloos Wolfdog,(041) 410-8018,(773) 014-1208,(747) 741-6260,"10/26/2003		no show                       		$25
11/16/2003		no show                       		$46
02/12/2006		6 body 8 tail 6 face          		$46
07/18/2008		4 body 2 tail 0 face          		$37
11/22/2012		no show                       		$44
04/11/2013		no show                       		$39
05/19/2015		bath                          		$56
09/10/2017		nails                         		$32
05/12/2020		bath                          		$55"
